0.65,18.039317
0.65,21.326489
0.65,11.503311
0.65,13.950781
0.65,11.795159
0.646886,43.191369
0.650495,53.853808
0.65,13.975574
0.649646,18.365186
0.649953,12.670238
0.649633,57.751586
0.650412,36.831138
0.660341,47.554345
0.648761,12.280139
0.65,25.078789
0.651126,14.191144
0.65,41.681154
0.650428,16.927942
0.650684,10.352193
0.652766,27.709832
0.650024,19.793611
0.649691,19.979128
0.649839,36.513217
0.65,18.689762
0.651426,16.035836
0.65,21.518212
0.65,9.010775
0.650787,12.975026
0.651224,10.702164
0.64482,37.47332
0.65,16.179494
0.651697,16.040689
0.647601,12.526249
0.651024,27.040686
0.65,29.44534
0.65,19.877182
0.65,14.691952
0.649277,27.673989
0.65,43.982426
0.65,91.524055
0.651286,51.47736
0.650144,14.973935
0.651138,11.098686
0.65,23.439915
0.650042,19.355115
0.65,11.986206
0.650941,9.162588
0.649687,9.434203
0.649257,15.329846
0.649896,9.415628
0.649983,15.592384
0.65,34.502209
0.65,12.160796
0.649626,38.132954
0.65076,38.26135
0.650964,17.818506
0.65003,20.559176
0.672978,11.906324
0.647982,11.512186
0.651751,26.146055
0.65,11.611412
0.649789,9.937245
0.634813,13.571391
0.649799,11.801733
0.651291,10.999043
0.645972,15.587932
0.650076,15.723843
0.65,24.2893
0.65,9.740108
0.651638,8.129966
0.6467,14.680003
0.655666,10.50965
0.65,15.372185
0.649873,18.013761
0.650634,14.468781
0.647004,25.516192
0.646993,16.312922
0.650796,24.081821
0.65097,12.581372
0.65,8.502383
0.651193,10.082852
0.64967,17.366013
0.650249,44.027644
0.648335,42.377557
0.65,12.423925
0.649508,18.250377
0.651157,30.212509
0.650411,53.207673
0.649411,45.95463
0.646277,27.318886
0.65,47.404656
0.650145,8.898822
0.65,12.614171
0.650837,27.475732
0.650188,16.608559
0.649366,14.757619
0.65,17.391561
0.65168,24.51393
0.651009,12.244399
0.650437,12.665176
0.651187,18.154774
0.65,14.543401
0.641794,17.437757
0.65,14.856937
0.65,9.739148
0.65,11.523257
0.649811,12.145006
0.65001,13.526265
0.648755,24.362728
0.65,17.69655
0.649577,9.676074
0.651092,21.706964
0.649751,17.336304
0.642815,12.210735
0.65027,13.701232
0.650027,10.055371
0.656107,14.196995
0.648938,11.817777
